iter	Logloss
0	0.6291587985
1	0.5864859341
2	0.5458615361
3	0.5141683566
4	0.4817847427
5	0.4571057793
6	0.4328784553
7	0.4139990774
8	0.396667195
9	0.3795492211
10	0.3622173906
11	0.3468811917
12	0.3335515755
13	0.3199384521
14	0.3099066546
15	0.3001656824
16	0.28776597
17	0.2801840127
18	0.2728376843
19	0.2661689187
20	0.2581607014
21	0.2516400603
22	0.2455663357
23	0.2397295374
24	0.233250365
25	0.226456986
26	0.2224528514
27	0.2181243377
28	0.2130065191
29	0.2091087289
30	0.205385818
31	0.2024175423
32	0.1996711809
33	0.1945934166
34	0.190786738
35	0.1878716994
36	0.1843519665
37	0.1808556018
38	0.178072884
39	0.1756817305
40	0.1727681971
41	0.169541573
42	0.1676170583
43	0.1655534368
44	0.1634505525
45	0.1614324609
46	0.1597989919
47	0.1570227487
48	0.1544819916
49	0.1520972479
50	0.1498259071
51	0.1466203158
52	0.1450606366
53	0.1440058857
54	0.1421264467
55	0.1406910695
56	0.1385011997
57	0.1367596218
58	0.1353413848
59	0.1335590908
60	0.1318998272
61	0.1305036999
62	0.1290045758
63	0.1281521207
64	0.1268228025
65	0.1247365394
66	0.1232079486
67	0.1216082411
68	0.1200886551
69	0.1190383807
70	0.1174787924
71	0.116667754
72	0.1152978754
73	0.1145608993
74	0.1132816393
75	0.112097591
76	0.1106116626
77	0.1094325838
78	0.1084102579
79	0.1072777534
80	0.1062775956
81	0.105221956
82	0.1044136359
83	0.1034729108
84	0.1030649198
85	0.1020313445
86	0.1008351579
87	0.1004433535
88	0.0991626986
89	0.09852932262
90	0.09770878643
91	0.09726764394
92	0.09648627975
93	0.09564685173
94	0.09517957726
95	0.09476717475
96	0.09450148239
97	0.09381292304
98	0.09344041266
99	0.09284533287
100	0.09247681235
101	0.09179228179
102	0.09097194023
103	0.09029285924
104	0.08923071258
105	0.08884039379
106	0.08781834038
107	0.08718371878
108	0.08651033389
109	0.08600412745
110	0.08538644492
111	0.08514375752
112	0.08451232132
113	0.08353895071
114	0.08286216632
115	0.08253774189
116	0.08194364171
117	0.08168154995
118	0.08113586659
119	0.0806066033
120	0.07989215202
121	0.0791762086
122	0.07896814541
123	0.07828961586
124	0.07771226014
125	0.07726054289
126	0.07674141968
127	0.07631069625
128	0.07576394892
129	0.07572360915
130	0.07541780407
131	0.075075954
132	0.07461061283
133	0.0743036335
134	0.07382380557
135	0.07357151006
136	0.07278377507
137	0.07228000148
138	0.07180512357
139	0.07146097689
140	0.07099976832
141	0.07052289223
142	0.07015028454
143	0.06988950976
144	0.06945647674
145	0.06898053487
146	0.06878352003
147	0.06840134316
148	0.06796068724
149	0.06773366085
150	0.06717673451
151	0.06656419663
152	0.0663272702
153	0.06599175849
154	0.06594047417
155	0.06589473024
156	0.06524343555
157	0.06493883068
158	0.06483281713
159	0.06437692188
160	0.06392070225
161	0.06346332135
162	0.06331967334
163	0.06307498776
164	0.06306832502
165	0.06283115854
166	0.06281000254
167	0.06277764249
168	0.06251962493
169	0.06216374871
170	0.06176438624
171	0.06153585473
172	0.06106858675
173	0.06070890232
174	0.06053170704
175	0.06015271557
176	0.05982505383
177	0.05946377345
178	0.05942643743
179	0.05925798741
180	0.05902382468
181	0.05857474139
182	0.05827919318
183	0.05785508059
184	0.05753169417
185	0.05730250741
186	0.05715860639
187	0.05698066504
188	0.05696185106
189	0.056590476
190	0.05631518202
191	0.05602448652
192	0.05577878238
193	0.05526813844
194	0.05505369147
195	0.05452864511
196	0.05429899774
197	0.05416758206
198	0.05396529282
199	0.05374113719
